Type,Organization,Name,org_url,Title,picture_url,bio,linkedIn_url,industry,size,noaa,census,uspto,bea,nist
company,IBM,Steven Adler,http://www.ibm.com,SA - Information Strategist,https://media.licdn.com/media/p/4/005/066/387/20c7503.jpg,"Steven Adler has been the information strategist at IBM since 2000, where he founded the IBM Data Governance Council, Information Governance Community, and created the Data Governance Maturity Model, among other accomplishments. In 2008, he was named among the top 100 most influential people in financial services by Treasury & Risk Magazine. He serves as a committee co-chair in two non-profit organizations: the Data on the Web Best Practices Working Group at W3C, and the XMILE Technical Committee at Oasis.
Mr. Adler has taught Data Governance at the NY Stern School of Business and serves on the Steering Committee of the Global Forum. He holds a bachelor’s degree in History and Economics from the George Washington University.",http://www.linkedin.com/pub/steven-adler/0/166/759,Data/Technology,431212,x,x,x,x,x
company,IBM,Roslyn Docktor,http://www.ibm.com,IBM Governmental Programs Executive,https://media.licdn.com/media/p/1/000/264/3c3/21c55bb.jpg,"Roslyn Docktor is a Governmental Programs Executive at IBM. 
Ms. Docktor is one of the first 100 IBM employees to participate in the IBM Corporate Service Corps, through which she traveled to Ghana.",http://www.linkedin.com/pub/roslyn-docktor/62/a64/95a,Data/Technology,431212,x,x,x,x,x
company,Mapquest,Ty Beltramo,http://www.mapquest.com,CTO,https://media.licdn.com/mpr/mpr/shrink_240_240/p/2/000/0e3/1bd/3e29957.jpg,"Ty Beltramo is the Chief Technology Officer at MapQuest, where he leads technology and systems development operations for the company. In this role, he has developed MapQuest’s iOS apps, including the application’s gas price identification functionality. He previously served as the mobile engineering technical director and as a software engineer at MapQuest. Before joining MapQuest, Mr. Beltramo designed applications and systems architecture for Portable Hole Productions and TeleAtlas. Earlier in his career, he was the chief architect at General Motors’ OnStar enterprise.
He received a B.A. in Humanities from William Tyndale College.",http://www.linkedin.com/in/tybeltramo,Data/Technology,51 to 200,x,x,x,,
company,OnDeck,Michael White,http://www.ondeck.com,OnDeck’s Senior Risk Analyst,,"Michael White is the Senior Risk Analyst at On Deck Capital, Inc, which lends billions of dollars to small business across the country. Prior to his current position, Mr. White served as the Senior Manager – Credit Analytics at On Deck Capital. Before joining On Deck Capital, Mr. White was a Senior Business Analyst at Capital One. He holds a bachelor’s degree from Georgetown University.",http://www.linkedin.com/pub/michael-white/18/8b8/725,Finance & Investment,240,,x,,x,
company,Overture Technologies,Bala Venkatesan,http://www.overturecorp.com/,"Vice President, Technology",https://media.licdn.com/media/p/2/000/0ce/320/014d3cf.jpg,"Bala Venkatesan serves as Vice President of Technology at Overture Technologies. Mr. Venkatesan has 14 years of IT experience as a developer of web-based software solutions, including leading the design and development of Overture’s more complex financial transaction processing solutions. Previously, Mr. Venkatesan worked at Sengen Inc., US Interactive, and Sun Microsystems. He holds a B.S. in Computer Science from the University of Madras and a Masters in Technology Management from the University of Maryland, College Park.",http://www.linkedin.com/pub/bala-venkatesan/4/610/4b6,Data/Technology,8,,x,,,
company,PolicyMap,Elizabeth Nash,http://policymap.com,Director of Data and Product Development,https://media.licdn.com/media/p/3/000/22d/057/3320fab.jpg,"Elizabeth Nash has been the Director of Data and Product Development at PolicyMap since 2007. As Director, she maintains all data for the company, which provides the web’s largest geo-database and supplies U.S. data and mapping information to myriad of public, private, and academic institutions. Ms. Nash also helped design PolicyMap in its nascent stages. Prior to joining the company, she served as the Manager of Marketing and Business Development at the Lawrence Group.

Ms. Nash received a bachelor's degree in history with a minor in mathematics from Bryn Mawr College and a master's in urban and regional planning from Rutgers University.",http://www.linkedin.com/pub/elizabeth-nash/31/687/339,Geospatial/Mapping,9,x,x,,x,
company,PricewaterhouseCoopers,Jim Dreyer,http://www.pwc.com,Leadership Director in the PwC Risk Assurance Information Technology & Process Assurance XBRL services practice group,https://media.licdn.com/media/p/3/005/01c/1b6/17cd72b.jpg,Jim Dreyer is the Leadership Director in the PwC Risk Assurance Information Technology & Process Assurance XBRL services practice group.,http://www.linkedin.com/pub/jim-dreyer/3/8a7/671,Research & Consulting,10001+,,,,,
company,Social Explorer,Andrew Beveridge,http://www.socialexplorer.com/,Co-Founder and CEO,https://media.licdn.com/mpr/mpr/shrink_200_200/p/2/000/012/34e/14435a8.jpg,"Andrew Beveridge serves as President and CEO of Social Explorer and as a Professor of Sociology at Queens College. Dr. Beveridge is an expert in the use of geographic information systems (GIS) to integrate demographic materials, and has consulted widely on demographic and social science data in addition to his work in web-based map and data services with Social Explorer. Dr. Beveridge earned a Ph.D., M.Phil., and bachelor’s degrees from Yale University.",http://www.linkedin.com/in/aabeveridge,Data/Technology,15,,x,,x,
company,Socrata,Kenneth Melero,http://www.socrata.com,Director of Federal,https://media.licdn.com/media/p/8/000/2a4/152/044ccce.jpg,"Kenneth Melero is the Director of Federal Sales at Socrata, a cloud-software company dedicated to helping government agencies expand access to their data. He has worked for over 20 years in small business settings, promoting profitability through his leadership in the sales and technology sectors. He previously served at PIXIA Corp. as a Senior Director and at SPADAC Inc. as the Vice President of Product Sales.",http://www.linkedin.com/in/melero,Data/Technology,11 to 50,x,x,x,x,x
company,The Weather Company,Bryson Koehler,http://www.weather.com/,"EVP, CIO",https://media.licdn.com/media/p/6/000/29a/396/2370259.jpg,"Bryson Koehler is the executive vice president and chief information officer of the Weather Company, where he oversees the strategy, financial planning, and technical operations of the company. Before joining the Weather Company, Mr. Koehler worked at the private equity firm Exigen Capital as an operating partner managing firm investment in the entertainment and travel sectors. In 2010, he was named “One to Watch” by CIO Magazine. Earlier in his career, Mr. Koehler served at InterContinetnal Hotels Group as the senior vice president of global revenue and guest technology. He was also the Director of Global Sales at Vicorp. . He currently serves on the Board of Directors of Atlanta Habitat for Humanity and the Technology Association of Georgia.
Koehler holds a bachelor’s degree in political science and in communications from the University of North Carolina at Chapel Hill.",http://www.linkedin.com/in/brysonkoehler,Climate & Weather,1001 to 5000,x,x,,,x
company,Think Computer Corporation,Aaron Greenspan,http://thinkcomputer.com,President and CEO,"http://www.thinkcomputer.com/corporate/people/aarong.jpg
","Aaron Greenspan formed Think Computer Corporation in 1998 when he began offering IT consulting services from his bedroom in Shaker Heights, Ohio. With demand high due to the dot-com boom, he quickly found it necessary to hire a few of his fellow classmates. Upon graduating from high school, Aaron changed the focus of the company from consulting to software development. Today, Think operates the integrated FaceCash mobile payment system and ThinkLink accounting network.

Shortly after starting Think Computer Corporation, Aaron spearheaded the creation of Think Computer Foundation, a 501(c)3 non-profit organization with the goal of helping children through technology. While attending Harvard College, Aaron created a web site in September, 2003 referred to as ""The Facebook,"" inspiring the separate creation of Facebook, Inc. He is the author of ""Authoritas: One Student's Harvard Admissions and the Founding of the Facebook Era"" and various other essays.

Through the Advanced Standing program, Aaron graduated cum laude from Harvard College in three years with an A.B. in Economics.",http://www.linkedin.com/pub/aaron-greenspan/0/659/76b,Data/Technology,1 to 10,,,x,,
company,TuvaLabs,Harshil Parikh,https://www.tuvalabs.com/,Founder,https://media.licdn.com/mpr/mpr/shrink_200_200/p/3/000/0c2/30a/00fdc6d.jpg,,http://www.linkedin.com/in/hsparikh,Education,3,x,x,,,
company,Way Better Patents,Arleen Zank,http://waybetterpatents.com/,Founder and Editor in Chief,https://media.licdn.com/media/p/4/005/03b/13f/20a9517.jpg,"Arleen Zank is the founder and Editor in Chief of Way Better Patents, a non-profit digital information services provider. Previously, she served for 22 years as the president of Coronando Group, Ltd, a company she also co-founded. Ms. Zank also worked as a program director at Wang Laboratories. Ms. Zank has over 25 years of experience in the information services field.
Ms. Zank received a B.A. from George Washington University.",http://www.linkedin.com/pub/arleen-zank/4/31b/184,Business & Legal Services,4,,x,x,x,
non-profit,Pew Research Centre,John Horrigan,http://www.pewresearch.org/,Consultant,https://media.licdn.com/mpr/mpr/shrink_200_200/p/2/000/038/11a/069f3d2.jpg,"John Horrigan, Ph.D. is a consultant for Pew and a Senior Research Fellow of the Joint Center for Political and Economic Studies’ Media and Technology Institute. The Institute studies how upcoming technologies can be utilized for the advancement of people of color, people with disabilities, low-income people, and senior citizens . Prior to his position at the Joint Center, Mr. Horrigan served as the Vice President for Policy and Research at TechNet, where he researched the National Broadband Plan and the economic impact of mobile applications. Before assuming his role at TechNet, Mr. Horrigan was a member of FCC Chairman Genachowski’s leadership team, which developed the National Broadband Plan. Mr. Horrigan designed and carried out the FCC’s first nationwide survey on broadband usage. He served with the Pew Internet and American Life Project for nine years as the Associate Director, studying internet and information technology consumption on computer and mobile devices. 
Mr. Horrigan began his career as a staff officer for the National Research Council’s Board on Science, Technology, and Economic Policy. He served as a senior legislative assistant and press secretary for a U.S. Congressman. Mr. Horrigan holds a B.A. in government and economics from the University of Virginia and a Ph.D. in public policy from the University of Texas at Austin.",http://www.linkedin.com/pub/john-horrigan/0/504/b28,,,,,,,
non-profit,Sunlight Foundation ,Sean Vitka,http://sunlightfoundation.com/,Federal Policy Manager,,,,,,,,,,
non-profit,Data Transparency Coalition,Hudson Hollister,http://www.datacoalition.com/,Founder and Executive Director,https://media.licdn.com/media/p/4/000/187/1c6/0a4677e.jpg,"Hudson Hollister is the founder and Executive Director of the Data Transparency Coalition. Prior to founding the Data Transparency Coalition, he served as counsel to the Committee on Oversight and Government Reform of the U.S. House of Representatives and as an attorney fellow in the Office of Interactive Disclosure at the Securities and Exchange Commission. Before his government service, he was a securities litigator in the Chicago office of Latham & Watkins LLP.",http://www.linkedin.com/pub/hudson-hollister/4/a67/aa0,Research and Consulting,10001+,,,,,
non-profit,Data Transparency Coalition,Alex Heit,http://www.datacoalition.com/,Policy Associate,https://media.licdn.com/mpr/mpr/shrink_240_240/p/2/005/052/25a/295e150.jpg,Alex Heit serves as the Policy Associate for the Data Transparency Coalition. He earned his MPA at the University of Pittsburgh with an emphasis on Policy Research and Analysis.,https://www.linkedin.com/profile/view?id=39895664&authType=name&authToken=x688&trk=prof-sb-browse_map-name,,,,,,,
Commerce,Office of the Secretary,Penny Pritzker,http://www.commerce.gov/os,Secretary,https://media.licdn.com/media/p/1/005/029/18a/35b4c56.jpg,,https://www.linkedin.com/profile/view?id=305249517,Research & Consulting,51 to 200,,x,,x,
Commerce,Office of the Secretary,Mike Kruger,http://www.commerce.gov/os,Director of Digital Engagement,https://media.licdn.com/mpr/mpr/shrink_200_200/p/3/000/004/047/2177f71.jpg,"Mike Kruger has been the Director of Digital Strategy for the U.S. Department of Commerce since September 2010. He directs the Agency’s first-ever Office of Digital Engagement. He joined the Commerce Department after two years as the House Education and Labor committee's online outreach specialist, where he was charged with expanding the committee's social network footprint and reaching out to online media. He worked previously for 21st Century Democrats as an online associate during the 2007-2008 election cycle. Prior to that, he taught domestically and internationally for 9 years. He earned his Masters in Education and Social Justice from the University of London and holds a Bachelor of Arts in History from Western Washington University.
","http://www.linkedin.com/in/michaelnkruger
",Advocacy,1 to 10,,,,,
Commerce,Office of the Secretary,David Langdon,http://www.commerce.gov/os,Senior Policy Advisor for Economics and Statistics,,,,,,,,,,
Commerce,Economics and Statistics Administration,Mark Doms,http://www.esa.doc.gov/,Under Secretary,https://media.licdn.com/mpr/mpr/shrink_200_200/p/3/000/202/168/2f23d43.jpg,,http://www.linkedin.com/pub/mark-doms/31/241/359,,,,,,,
Commerce,Economics and Statistics Administration,Austin Durrer,http://www.esa.doc.gov/,Chief of Staff,https://media.licdn.com/mpr/mpr/shrink_200_200/p/3/005/050/139/19d6e0d.jpg,,http://www.linkedin.com/pub/austin-durrer/3/b5a/403,Government,10001+,,,,,
Commerce,Economics and Statistics Administration,Rick Lattimer,http://www.esa.doc.gov/,Policy Analyst,,,http://www.linkedin.com/pub/rick-lattimer/51/99a/704,,,,,,,
Commerce,Economics and Statistics Administration,Lauren Lipovic,http://www.esa.doc.gov/,Senior Advisor,,,http://www.linkedin.com/in/laurenlipovic,,,,,,,
Commerce,National Oceanic and Atmospheric Administration,David Michaud,http://www.noaa.gov/,Acting Deputy Chief Information Officer,http://www.cio.noaa.gov/images/davem_sm.png,"Mr. David L. Michaud is currently serving as National Oceanic and Atmospheric Administration (NOAA) Acting Deputy Chief Information Officer (CIO) as of May 2014. In this position, he is the chief operating officer for NOAA Office of the CIO and for policy and management of information and information technology across NOAA. Mr. Michaud is also the Deputy Director of High Performance Computing and Communications for the National Oceanic and Atmospheric Administration, responsible for the management, coordination, and integration of NOAA’s high performance computing, enterprise network infrastructure services, and information technology research and development.

Mr. Michaud has served at NOAA for over 20 years. Previously he was the Senior Production Analyst for the National Weather Service’s National Centers for Environmental Prediction where he was responsible for the management and operation of its numerical weather prediction suite of models running on NOAA’s operational supercomputers producing millions of public products daily.
Mr. Michaud earned a Bachelor of Science degree in meteorology from the Pennsylvania State University and began his career with NOAA working day-to-day operations within multiple National Weather Service Forecast Offices.",,,,,,,,
Commerce,National Oceanic and Atmospheric Administration,Ron Bewtra,http://www.noaa.gov/,Chief Technology Officer,https://media.licdn.com/media/p/8/000/1e5/109/0095068.jpg,"Ron Bewtra serves as the Chief Technology Officer for the National Oceanic and Atmospheric Administration (NOAA).  He is currently advancing the Agency's Big Data initiative.  He recently led the effort to establish the Agency’s 5-year network strategic plan and the implementation of a NOAA-wide network optimization initiative.  Mr. Bewtra also serves as the technical lead for the NOAA Research and Development High Performance Computing.  He is responsible for IT at NOAA’s Geophysical Fluid Dynamics Laboratory located on Princeton University’s Forrestal campus.
","http://www.linkedin.com/pub/ron-bewtra/2/775/6ab
",,,,,,,
Commerce,National Oceanic and Atmospheric Administration,Edward Johnson,http://www.noaa.gov/,"Director, Office of Strategic Planning and Policy (NWS)",,"Dr. Edward R. Johnson currently serves the National Weather Service (NWS) as the Director of Strategic Planning and Policy, a staff office reporting to the NWS Director, with responsibility for oversight of the NWS planning process and agency-level policy matters (including private sector relations).

Dr. Johnson works with government agencies as well as interest groups and non-governmental agencies to coordinate policy, service, science, and technology issues. Before assuming his current post in 1999, his NWS career included research, development, and policy-level activities associated with the NWS hydrologic services program including the NWS modernization and the centralized operational support for NWS flood forecast and warning systems.

Prior to joining the NWS hydrologic services program in 1983, Dr. Johnson was an Assistant Professor of Civil Engineering at the Georgia Institute of Technology, having earned his PhD from the Massachusetts Institute of Technology Department of Civil Engineering in 1978.
",,,25 to 35,,,,,
Commerce,National Oceanic and Atmospheric Administration,Steven Olson,http://www.noaa.gov/,Deputy Chair of the Environmental Data Management Committee (NWS),,,,,25 to 35,,,,,
Commerce,Office of the Secretary,Bert Kaufman,http://www.commerce.gov/os,Deputy Director of our Office of Business Liaison,,,,,,,,,,
Commerce,Census Bureau,John Thompson,http://www.census.gov/,Director,https://www.census.gov/newsroom/img/thompson_john.jpg,,,,,,,,,
Commerce,Census Bureau,Nancy Potok,http://www.census.gov/,Deputy Director,http://www.commerce.gov/sites/default/files/imagecache/custom_crop_350x230/images/2012/march/potok-file-photo-feb-2012-h.jpg,"Dr. Nancy Potok is the Deputy Director and Chief Operating Officer of the U.S. Census Bureau. She previously served at the U.S. Department of Commerce as Deputy Under Secretary for Economic Affairs, the Census Bureau's Associate Director for Demographic Programs, and the Principal Associate Director and Chief Financial Officer in charge of Field Operations, Information Technology, and Administration during the 2000 Census.

Dr. Potok has more than 30 years of public, private, and nonprofit senior management experience. She was the Chief Operating Officer of McManis & Monsalve Associates, a small business specializing in helping Fortune 500 companies and government agencies manage change and innovation. She was also the Senior Vice President and Director of the Economic, Labor and Population Studies Department at the University of Chicago National Opinion Research Center (NORC), a social science survey research organization.

Her public service includes working in the Judicial and Legislative Branches, as well as at the U.S. Department of Transportation and the U.S. Office of Management and Budget.

Dr. Potok is an adjunct professor at The George Washington University, an elected Fellow of the National Academy of Public Administration (NAPA), and a recipient of numerous awards, including The George Washington University Trachtenberg School Distinguished Alumni Award and the Arthur S. Flemming Award. She has published numerous articles on governmental management topics, and has presented papers, lectures, workshops, and classes in both national and international forums.

Dr. Potok earned her B.A. from Sonoma State University, M.A.S. from the University of Alabama, and Ph.D. from The George Washington University","http://www.linkedin.com/pub/nancy-potok/8/99/585
",,25 to 35,,,,,
Commerce,Census Bureau,Avi Bender,http://www.census.gov/,Chief Technology Officer,,"Avi Bender joined the Census Bureau as its first CTO in 2010. Avi guides technology modernization of the Bureau through strategic initiatives that will transform how survey data are collected, processed and disseminated. Avi has established an enterprise architecture program, an infrastructure road map and led the creation of the Bureau’s Innovation Center - the Center for Applied Technology. He leads a team of solution architects who are designing an agile, scalable, and responsive architecture and infrastructure to deliver both operational efficiencies and business process innovation.

Avi provides thought leadership in the areas of open data, innovation, service based architecture, and change management. Avi played a key role in the development of the Department of Commerce Strategic Plan- Data Goal- and represented the Department on the Presidents Management Agenda for Data. Avi led a Commerce-wide team in the development of a unified architecture and shared service strategy in support of the Operational Excellence Goal for the Department.

Prior to joining Census, Avi served a four-year term appointment as the Director for Enterprise Architecture (EA) at the Internal Revenue Service (IRS). Avi transformed the IRS EA organization into a business driven and collaborative function that delivered IT strategy, governance, and business enablement. He received multiple industry awards for changing the role of the IRS EA from “police” to a highly collaborative and mission focused organization. Avi has extensive entrepreneurial, executive management, and consulting experience in the private sector. Avi was a Managing Director at Price Waterhouse LLP where he led the global IT thought leadership support for digital media. As the Managing Principle for Media and Entertainment with IBM Global Services, Avi led major IT strategy consulting initiatives for some of the largest brands. Avi was a founder of two digital media software startups that delivered capabilities in enterprise content management and service oriented architecture.

Avi holds a Bachelor of Science in Biology from Brooklyn College, City University of New York, A Masters of Science in Marine Science from Long Island University, and a Masters of General Administration in Technology, from the University of Maryland, with a concentration in IT and organizational development. Avi received the Federal Innovator of the Year Award in 2013.","http://www.linkedin.com/pub/avi-bender/0/133/982
",,25 to 35,,,,,
Commerce,Census Bureau,Michael Ratcliffe,http://www.census.gov/,Assistant Division Chief for Geocartographic Products and Criteria,https://media.licdn.com/media/p/2/000/107/029/24ae54e.jpg,"Michael Ratcliffe is responsible for programs related to development of geographic area concepts and criteria, geographic information and mapping products. In his tenure at the Census Bureau, he has worked in both the Geography and Population Divisions, with a general focus on urban/rural and metropolitan areas, and concepts of place. Mr. Ratcliffe holds degrees in geography from the University of Maryland and Oxford University.",http://www.linkedin.com/pub/michael-ratcliffe/11/bb3/10,,25 to 35,,,,,
Commerce,Census Bureau,Jeffrey Sisson,http://www.census.gov/,"Program Manager, Data Access and Dissemination Systems",,,n/a,,25 to 35,,,,,
Commerce,Bureau of Economic Analysis,Brian Moyer,http://www.bea.gov/,Acting Director,http://www.bea.gov/about/images/moyer-brian.png,"In his role as Acting Director, Dr. Moyer oversees BEA’s production of official economic statistics, which provide a comprehensive, up-to-date picture of U.S. economy that aid in the decision making by businesses, policymakers, households, and individuals. He took on the duties of Acting Director upon the May 2 retirement of Director Steve Landefeld.

As Deputy Director, Dr. Moyer also oversees the administrative and communications functions of the Bureau and provides leadership for improving and expanding the Bureau’s statistical programs.",,,25 to 35,,,,,
Commerce,Bureau of Economic Analysis,Nicole Mayerhauser,http://www.bea.gov/,"Chief, National Income and Wealth Division",,"Nicole Mayerhauser is chief of the National Income and Wealth Division at the Commerce Department’s Bureau of Economic Analysis. In that post, she directs the production of GDP statistics and is on the forefront of BEA’s efforts to improve how the U.S. economy is measured. Mayerhauser first joined the BEA in 1997 and left in early 2000 to work as a research economist at the U.S. Chamber of Commerce headquartered in Washington, D.C. Mayerhauser returned to the BEA in the spring of 2002, serving in a number of different positions, including chief of the Industry Sector Division, where she oversaw production of BEA’s GDP by industry statistics and the U.S. input-output accounts.",http://www.linkedin.com/pub/nicole-mayerhauser/45/76a/3a8,,25 to 35,,,,,
Commerce,Bureau of Economic Analysis,Shaunda Villones,http://www.bea.gov/,Senior Economist and Special Assistant to the Director ,,"As Assistant to the Director, Shaunda Villones manages the operations of the Office of the Director and supervises a team that provides direct technical support to the Director and Deputy Director of BEA. Her team supports the Director and Deputy Director’s management, communication, administrative and economic research responsibilities.",n/a,,25 to 35,,,,,
Commerce,Bureau of Economic Analysis,Alexander Minor,http://www.bea.gov/,"Chief, Web Services Branch",,"Alec Minor is the Web Services Branch Chief at the U.S. Bureau of Economic Analysis. Alec is responsible for the internal and external facing Web sites at the Bureau and coordinates with the program areas, OCIO, and the Communications Division on strategies and development of the sites. Over the last 6 years Alec has played a key role in implementation of the Bureaus’ interactive data tables, APIs, and cataloging of datasets and development of Web pages for open data accessibility.",,,,,,,,
Commerce,U.S. Patent and Trademark Office,Alan Marco,http://www.uspto.gov/,Acting Chief Economist,,,http://www.linkedin.com/pub/alan-marco/5/670/402,,,,,,,
Commerce,U.S. Patent and Trademark Office,Vikrum Aiyer,http://www.uspto.gov/,Special Advisor to the Under Secretary,http://www.commerce.gov/sites/default/files/imagecache/custom_crop_350x230/images/2013/may/vikrum_aiyer.jpg,"Vikrum Aiyer is a political appointee in the Obama Administration and Deputy Chief of Staff to the Under Secretary of Commerce for IP. A former communications advisor to Senator Ed Markey (D-MA) and DC Mayor Adrian Fenty (D) he has worked on communications strategies for campaigns, federal agencies, and trade associations, including the State Department, the White House Initiative on Asian Americans & Pacific Islanders and the National Education Association.

Currently, he advises the President's Secretary & Under Secretary of Commerce for Intellectual Property, where he helps frame the Administration's innovation and intellectual property agenda. Aiyer also spearheads public engagement and IP-outreach strategies aimed at boosting exports for small businesses, spurring advanced manufacturing opportunities in America, and ripening the business climate for start-up growth. 

Aiyer attended the University of California, Berkeley and did his graduate work at the George Washington University’s School of Political Management. He lives in Washington, DC, where he serves on the steering committees for Refugees International, Big Brothers Big Sisters, and 
the Susan G. Komen Foundation.",http://www.linkedin.com/pub/vikrum-aiyer/7/3b3/a65,,,,,,,
